survived,pclass,sex,age,sibsp,parch,fare,embarked
1,1,male,0.4,0,0,79.68948345308306,S
1,3,female,12.367294872677508,0,0,23.194127917400998,S
1,2,female,48.911857351033646,1,0,27.24592958135701,C
1,1,female,29.05567556828686,0,0,125.42666356553258,S
0,2,male,48.41317455365702,0,0,26.094418053502025,C
0,3,male,28.39361284063144,0,0,11.095368258595501,S
1,1,female,41.04710297286981,0,1,0.0,S
0,3,male,16.63699356808366,0,0,25.526828774815705,C
1,2,female,37.29728883579372,1,2,30.6860963127189,C
1,3,female,28.39361284063144,1,0,0.0,C
0,3,male,21.33861426261145,2,0,28.11167174149276,S
0,3,male,37.81333537393441,0,0,2.285548139737312,S
0,2,male,37.909722499335075,0,0,0.0,S
0,3,male,21.7314869936138,1,0,11.657142976726353,C
1,1,female,13.419857732070572,0,0,130.99115633731046,S
0,3,male,12.53013918747505,0,0,0.0,S
0,3,male,30.954330357861195,1,0,20.49877973492567,C
0,3,male,34.441643097445066,0,0,20.79402424726602,C
1,3,female,18.208375458360237,1,0,24.540415961636707,S
0,3,male,30.08548744922843,1,2,9.665446702221349,C
1,1,female,37.972787024008035,0,0,172.3498632846895,S
0,2,male,38.66376536264686,1,0,18.58469219622422,S
0,3,male,52.202261741776084,1,0,30.879954414684644,S
0,1,male,48.21622206687162,0,1,29.59423256031267,S
0,3,male,15.18127422503011,0,0,4.430556510108966,Q
0,3,male,54.112000038301325,0,0,14.055408427917977,C
0,3,male,22.000840683942137,0,0,3.1442976508449707,S
0,3,male,44.8506557805892,0,0,11.416796427288826,C
0,3,male,30.68580607774079,0,0,12.739244636300906,S
0,2,male,23.72383401237397,0,1,25.006729195760435,S
0,1,male,28.39361284063144,0,0,119.96713015076173,C
1,1,female,27.21231460186295,0,0,70.96368698281283,S
0,3,male,7.088943088068671,1,0,11.63733554968998,S
0,1,male,28.39361284063144,0,0,37.24867077582375,S
0,3,male,51.6934935285191,1,0,12.342350833461278,S
1,3,female,28.39361284063144,0,1,13.925636533544106,Q
1,1,female,34.07857576652943,0,0,85.73611170094532,S
0,2,male,28.39361284063144,0,0,26.40605661389067,S
1,3,female,28.39361284063144,0,0,9.489987705532055,S
0,3,male,40.93017320604788,2,0,26.61535074811051,Q
1,1,male,29.141195203270517,1,1,101.22410840327922,S
1,3,female,54.92489660799967,0,0,25.70066404219655,S
1,2,female,22.707629058807644,1,1,0.0,S
0,2,male,44.19037682088009,0,0,26.36053133226369,S
0,2,male,31.112494487887837,0,0,24.241655553896486,S
0,3,male,41.23878114129138,1,0,6.9480879107067395,S
1,2,female,28.39361284063144,0,0,13.559603367704872,S
0,1,male,28.98139685550205,0,1,0.0,S
0,2,male,28.025266250165444,0,2,15.683696730105137,C
1,2,female,17.577171834736085,0,2,8.748465009274257,S
0,3,male,39.300182251435416,1,2,13.238043279760507,S
0,2,male,39.12861058088628,2,0,0.0,S
1,3,female,38.306543076130716,0,0,0.0,S
0,2,male,28.39361284063144,0,1,40.19494347076127,C
0,3,male,50.7154996179264,0,1,18.896261438724025,C
0,1,male,28.39361284063144,3,1,59.3894998986435,C
1,3,female,35.10925861729558,0,1,9.532025938611298,S
0,3,male,28.39361284063144,0,2,15.620918085588407,S
0,2,male,30.038652083661052,0,0,17.233638362826866,S
0,2,male,21.003632987776463,0,0,41.12162712610507,Q
1,3,female,53.19101948247274,0,1,10.342432809524695,S
1,3,female,34.97362317997296,0,1,22.445708597164796,Q
0,1,male,26.53857764248588,1,0,10.938263699528974,S
1,1,female,47.00746929191747,0,0,192.7336452462249,S
0,3,male,0.4,1,0,14.377228966822383,C
1,1,female,0.4955123744532983,2,1,52.7356853955239,S
0,3,male,41.239660500686725,1,0,31.182372414513814,S
1,3,female,30.576792497701835,2,1,21.863236682915794,S
0,3,male,33.331471353781026,0,1,26.145568559539438,Q
1,2,female,10.467256501881042,0,0,21.28431209184568,S
1,2,female,28.39361284063144,2,0,7.070917786571391,Q
1,1,female,58.75088645081946,1,0,93.61506298614438,S
0,3,male,41.65089448704001,2,0,12.56427353361836,S
1,3,female,28.39361284063144,0,1,3.919750421971097,S
0,3,male,23.333718303478403,0,0,26.659336265568182,S
1,3,female,23.978693647893788,0,0,22.83351637758792,Q
0,1,male,0.4,0,0,8.204426215628672,Q
1,3,female,33.435786103356826,0,1,20.417106490138536,Q
1,1,female,41.95950507298688,0,1,47.0226273523772,Q
0,3,male,6.853519756026081,0,0,21.198279809313746,S
1,3,female,20.109455061551166,0,0,0.5569287647436987,S
0,1,male,28.39361284063144,1,0,125.69439928170502,C
1,3,male,15.702407675272928,1,1,13.419614720942047,S
0,3,male,30.47548358891755,1,0,20.236420996116514,C
0,3,male,0.4,0,0,7.715623988178667,S
0,3,male,28.39361284063144,0,0,0.0,S
0,3,male,40.63089851403839,0,2,3.183002823170794,S
0,2,male,26.05901247346477,0,1,32.16181585636992,S
1,2,female,28.39361284063144,1,0,21.234509927004392,S
0,2,male,15.251929922965349,0,1,65.51810284352919,S
0,1,male,28.39361284063144,0,2,39.3619971844341,S
1,1,male,0.4,0,2,0.0,S
0,3,male,24.66091052319397,2,0,13.676087232185623,S
0,3,male,12.589988712224745,0,2,25.04183382169693,S
0,1,male,41.36626937298013,0,0,28.01062019277753,S
0,3,male,28.39361284063144,0,1,12.597162122594012,C
0,3,male,35.557333300666365,2,0,3.1074187986169832,S
0,1,male,37.89917607795185,0,0,94.31072196948902,S
0,3,male,28.39361284063144,0,0,17.924989370016135,S
0,2,male,26.757341816707132,0,0,21.593337201745758,S
0,3,male,28.39361284063144,0,0,12.855449896816921,S
0,2,male,8.166695552652179,0,0,0.0,S
1,2,female,46.96099666775929,1,1,27.331557717830705,S
1,3,female,18.672621702965213,0,0,8.655293782873992,S
0,1,male,21.569064620727687,0,0,118.6836799365833,S
0,2,male,29.377406974686444,0,0,36.88345428176106,S
0,2,male,7.038176992572179,1,0,31.719737362489525,S
0,3,female,33.0171654194696,2,0,9.462422652372538,S
0,3,male,43.72826095741266,1,0,0.639382449445943,S
1,3,female,28.39361284063144,0,0,14.776405765271697,C
1,1,female,6.660985319408486,0,0,0.0,S
1,3,female,27.904765232219937,2,0,10.783516513580352,S
0,3,male,40.45941909320261,0,2,15.987706774887185,S
1,3,female,28.39361284063144,0,0,21.480022627358977,S
0,3,male,14.115892799643147,1,0,21.015654719404687,S
0,1,male,42.40988225918204,0,0,54.902882633779825,C
0,1,male,33.616383795860656,2,0,71.71906528703086,C
1,3,female,35.67358794083793,0,0,8.33001664058758,S
0,3,male,56.66267471053801,0,0,3.5608435867756274,S
0,3,male,28.39361284063144,2,0,8.06843492661918,C
0,1,male,39.2393761512811,1,1,111.96064287598712,S
0,3,female,69.00581014466573,0,1,6.137138783475173,S
0,3,male,26.599833907687884,0,0,14.96057139117443,C
1,1,female,18.130699927531822,0,0,34.53078682370019,S
0,3,male,35.90304777458343,0,1,0.0,S
1,1,male,36.06536992613898,1,0,202.44073599439827,S
0,3,male,22.062626816779982,0,0,9.255854046341554,S
1,1,female,28.39361284063144,0,1,18.686038320705464,S
0,3,male,28.39361284063144,0,0,3.0615285870256166,S
0,3,male,28.39361284063144,0,0,18.230359747304004,S
1,3,female,19.0818619696699,0,0,27.74907711467967,S
0,3,male,28.39361284063144,0,0,9.969261389938556,S
1,1,male,28.11739530236065,1,0,59.5629801292374,C
0,3,male,26.033219028391446,0,0,24.71631839889072,S
0,3,male,37.85295664276015,3,1,0.0,C
0,2,male,28.39361284063144,1,1,23.09277741035313,S
1,1,female,34.813094456799,1,1,23.55914889252017,S
1,2,male,57.437844712110405,1,0,29.191952404455073,S
1,3,female,36.459576101861,1,0,13.02496771083243,S
1,2,female,24.244924495139763,0,1,36.54547361300448,S
0,3,male,22.34697343379049,0,1,11.352282290952662,C
1,1,female,23.750070386495914,0,0,108.27472808914723,Q
1,1,female,26.017541168307176,0,0,64.81750253392839,C
0,2,male,28.39361284063144,0,0,23.388779170667142,S
1,2,female,42.98651589558122,0,0,39.34601301164125,S
1,3,female,4.568468003469743,0,0,12.278148387048757,S
0,2,male,42.19900073097594,0,0,17.103554164036744,S
1,1,male,24.194545385432864,1,0,114.7653537019047,C
0,3,male,35.1657428925829,0,0,0.0,C
1,2,female,13.358675302087473,0,1,13.750799962228413,S
0,3,male,28.39361284063144,0,1,7.575733202915638,C
0,3,male,47.76170692249216,0,0,12.626470130804773,C
0,3,male,43.61406262337607,2,0,10.022045941744274,S
1,1,male,7.736055750993678,1,1,117.80542264450023,C
0,3,male,41.722255530457765,0,1,31.727899230910438,S
0,3,male,35.57039877071778,0,0,19.799338417292844,S
0,3,male,6.423566916577769,0,0,0.0,S
0,3,male,29.347687935323176,1,0,0.15876572991470184,S
0,3,male,34.98575009098231,1,0,10.010352246730836,S
1,2,female,37.76309147043568,0,0,36.749059699865,Q
0,3,male,32.27028982075841,0,0,0.0,S
1,2,female,28.39361284063144,0,0,26.488425572805323,S
0,3,male,51.067365187669886,0,0,3.136794421185215,S
0,3,male,47.477491693704856,2,1,28.933015621257553,S
1,3,female,0.4,0,0,32.20632597205721,C
0,1,male,25.09714095485361,2,1,55.78528879417911,S
1,3,female,27.312560100612707,1,0,18.389726404181847,Q
0,2,male,4.294570695458919,1,1,1.4823781874521984,S
0,3,male,31.065654344368525,1,1,20.236763264791144,S
1,3,female,47.806987699952344,1,1,9.018075765656299,S
1,1,female,13.94476603593644,0,3,24.143071381991916,S
0,1,male,34.57781361100315,0,0,149.82491900028685,Q
0,1,male,16.42055957920165,0,0,89.62706835948731,S
0,2,male,19.957275656644683,0,0,18.900901593454066,S
0,1,male,51.122207695465505,0,0,81.17614279102668,S
0,2,male,28.39361284063144,0,1,6.845542386154422,C
0,3,female,36.40208109065406,0,0,31.350229997738758,S
1,3,female,2.567337317115687,2,0,0.7494036717464638,S
1,3,female,56.70360464022576,0,0,30.154302731785954,C
0,2,male,38.43846047144423,0,0,33.36759396505398,S
1,3,female,27.053752281571207,1,0,13.989867674633844,S
0,1,male,38.04542439499848,0,1,6.165827458461749,S
1,3,male,9.25761828025675,2,0,10.562713284621454,S
0,2,male,46.84669575541353,1,0,17.233573220350756,Q
0,2,male,25.002220755301764,1,0,27.138490746873238,S
1,3,female,26.740992031797695,0,2,25.905247049556422,C
0,3,male,22.570993583000476,1,1,9.951436676581523,S
1,2,female,21.280554660189022,1,0,2.38981787909481,S
0,3,male,39.772723868611926,2,1,6.1792212633163786,S
0,3,male,33.41064932651123,1,0,4.084496874253052,S
0,3,male,39.15034805034408,0,0,2.5369909427133113,S
0,3,male,28.39361284063144,0,0,9.624266930158708,S
1,1,male,28.39361284063144,3,0,47.24514970820861,S
0,2,male,23.626693213086945,1,0,56.396990652925304,C
1,1,female,62.031111700438444,1,0,0.0,S
1,1,female,28.39361284063144,0,0,122.48203014440745,C
0,2,male,47.98359119166327,0,1,5.468105573850622,S
0,3,male,49.53465803545407,0,1,8.148159234733342,S
0,3,female,28.39361284063144,0,0,0.03127090717213932,S
0,3,male,62.02446735306161,0,0,18.598303064648267,C
1,2,female,44.13460910270712,0,1,18.550981651946238,S
1,1,female,43.78151559893222,0,1,75.13238128505591,S
0,2,male,30.10632171187521,1,0,33.96927446966545,S
1,3,female,26.55022070582919,0,0,32.31300320577401,S
0,3,male,26.66357200792568,0,0,0.0,C
1,1,male,28.39361284063144,0,0,82.60881539392761,S
0,3,male,28.39361284063144,0,0,12.994911631858015,Q
0,3,male,32.32905615899058,1,0,10.689494685279195,S
1,3,female,16.484067464509288,1,0,0.3015653478785545,S
0,3,male,28.39361284063144,0,0,19.957479067117163,S
0,3,male,28.39361284063144,1,0,20.761373847768578,S
0,3,male,28.39361284063144,2,0,31.851278019658896,S
1,1,female,40.509734144612246,1,0,197.57633417354705,S
0,3,male,28.39361284063144,1,0,8.06104671044265,S
1,2,female,16.229657076606596,1,0,28.975910341317764,S
1,1,female,17.111195255708694,0,0,117.48897841173671,S
0,3,female,28.39361284063144,1,1,28.732243456394702,Q
0,3,male,33.13575486741627,0,0,6.21825715722134,S
1,1,female,28.489992643214393,0,1,118.4617014385052,S
0,3,male,23.320178284319223,0,0,19.250720408620666,S
0,3,male,0.4,1,2,17.299028815939604,S
0,1,male,11.61389668943455,0,0,48.27169020690846,S
0,1,male,45.95218944534592,0,0,90.9209830371458,Q
1,3,female,20.0629229990846,0,2,13.84529237163198,S
0,2,female,34.9285793260242,2,0,36.916160868307884,C
0,3,male,9.535061265358785,0,0,20.960047866482,S
1,3,female,28.39361284063144,0,0,12.560278907788694,C
1,3,female,27.61159892920719,1,1,6.016652212611731,S
1,1,female,33.90558574901126,0,0,6.257027096349816,Q
0,3,male,63.42380698228443,0,0,13.360143443714348,S
1,2,female,51.68838145854635,0,0,12.494593426624172,S
1,2,female,25.25479849133766,0,0,0.0,S
0,1,male,21.098307319379792,0,0,49.889084999534624,S
0,3,male,24.97959733296679,2,0,31.350739625142754,S
0,3,male,37.09352460290977,2,1,29.466114107635743,S
1,2,female,28.39361284063144,0,0,49.24933120248249,S
1,1,female,23.96895989744966,0,0,44.81773196563119,C
1,3,female,50.97412813528111,1,0,10.996820268389275,S
0,3,male,28.043956569221365,1,0,27.823274458964647,C
1,2,female,63.044041849041136,0,0,21.314724146152308,S
0,3,male,31.01576717440651,1,0,7.674439636527024,S
0,3,male,55.58711671625855,3,0,32.72234675636453,S
0,2,male,28.39361284063144,1,0,13.970248194833296,S
0,3,male,43.66292831211699,0,0,31.684253285138457,S
0,3,male,19.193139752992995,1,0,0.016080893099980287,S
0,2,male,17.320491272482528,0,0,37.2151173631434,S
0,3,male,28.39361284063144,0,0,34.71082599216615,S
1,2,female,44.03402201574707,1,0,15.929324123230263,S
1,2,female,28.39361284063144,0,0,20.28633788572648,S
1,2,male,11.04729664128639,1,0,20.16203843225808,C
0,3,male,9.976253688804757,0,0,24.823430544352473,S
0,1,male,9.006522168299501,2,3,107.58112830994502,S
1,3,female,4.069479362378974,0,0,13.051914406100115,S
1,3,female,31.28753771198277,0,0,1.6549772020738853,C
0,3,male,46.013136864766366,1,0,29.56894600097433,S
0,3,male,29.505471089590273,0,0,25.548853107256825,S
1,3,male,0.4,1,0,13.68415250786869,C
0,2,male,26.933973325149044,0,0,44.88316390192283,C
1,3,female,27.339414548827197,0,0,29.35907049242632,S
1,3,female,60.09198187826887,1,0,10.340682729528528,S
0,1,male,28.39361284063144,0,1,107.56656107607085,S
0,1,male,28.39361284063144,0,1,96.90554032376176,S
0,3,male,28.39361284063144,1,0,7.540348681062251,C
1,3,female,36.22468594952495,0,0,0.0,S
0,3,male,28.39361284063144,0,0,7.771791634771754,S
0,2,male,31.361474336846232,1,0,27.363446206163353,S
0,2,male,28.39361284063144,0,0,21.71956996043929,S
1,1,female,40.97533818903877,0,0,126.95123679600536,S
0,1,male,17.962448376054887,0,0,14.097593942694246,S
0,3,male,42.43184939416889,0,0,14.651690663642313,S
1,2,female,9.79145625515968,0,1,45.05339994735751,S
1,1,female,28.39361284063144,0,0,103.33639306293524,S
0,1,male,32.29174396765174,0,0,60.9417638829701,S
0,3,male,20.763750221214437,1,0,0.0,S
0,2,male,28.39361284063144,0,0,31.032834930624173,S
1,3,female,20.67316778634948,1,0,9.227933710551348,C
0,3,male,14.160330760504706,1,1,24.50533649906501,Q
0,3,female,28.39361284063144,1,0,12.768197042410947,Q
0,3,male,13.692164787110908,0,0,20.11579365020806,S
0,3,male,28.39361284063144,0,3,20.710124272110008,S
0,2,male,13.02376033479073,0,0,28.392261515723316,S
0,3,female,28.39361284063144,0,0,24.91906435761852,S
0,3,male,12.568553515032107,1,1,6.410151360069004,S
0,3,male,21.488723724075406,0,0,21.77934220027543,S
1,3,female,20.643250580879904,3,0,10.09794705833469,S
1,1,female,28.39361284063144,1,0,129.36085106013823,S
0,2,male,34.48920421144058,1,0,17.605044910907534,S
1,2,male,26.629859863106283,0,0,44.90306819140175,S
1,2,male,36.93143189551099,0,0,58.94765476384936,S
0,1,male,28.39361284063144,0,1,152.86239600342645,Q
1,3,female,29.07456295020684,1,1,14.44187834959586,S
1,1,female,58.66395557816906,1,1,139.76432587565154,S
0,3,female,28.39361284063144,1,1,13.449720336097037,S
1,3,female,30.684740952955366,2,0,15.3400447616791,S
1,1,male,37.64786150481184,1,0,41.58604808450301,S
0,3,male,42.68627602805801,1,0,12.712414242703309,S
0,2,male,0.7367329530970324,0,0,28.405097657410586,Q
0,3,male,5.306266014030111,0,2,37.45733038961008,S
0,3,male,28.39361284063144,0,0,24.591186602081848,S
1,3,female,28.39361284063144,0,0,16.730941056315512,S
0,1,male,48.724366302188756,1,2,0.0,Q
0,3,male,28.39361284063144,0,1,0.0,S
0,3,male,1.6493043321597902,1,2,0.0,Q
0,3,male,11.313798205762044,0,0,10.007089382500938,S
1,3,female,28.39361284063144,1,0,0.2143585639789105,S
0,3,male,26.305179709397766,1,0,11.633944755516708,C
1,3,female,26.96843015466644,3,1,16.05656640594899,S
0,2,male,23.545290708162483,1,1,0.23006639527755368,S
0,3,male,45.343746065931214,1,0,2.617360157247864,Q
1,1,female,47.07853762949206,1,0,144.23347447219282,S
1,3,female,28.39361284063144,0,0,14.143896931522326,S
1,3,female,0.4,0,0,17.475093099330845,C
0,3,male,28.39361284063144,0,0,8.802280492464002,C
1,1,male,37.75272331337435,0,0,68.99808737809266,Q
1,1,female,28.39361284063144,0,0,62.56069687185864,C
0,3,male,43.93145636496768,1,0,31.741822235037688,S
0,2,male,12.80999260131492,0,0,0.0,Q
0,3,male,58.826953099684516,0,0,21.428273399555536,S
0,2,male,15.788297579442913,1,0,0.0,S
1,2,female,40.563732444412395,0,0,26.974764911045057,S
